Id,Id2,Geography,Total,Occupied,Vacant
1000000US210670002004021,210670002004021,"Block 4021, Block Group 4, Census Tract 2, Fayette County, Kentucky",3,2,1
1000000US210670003001000,210670003001000,"Block 1000, Block Group 1, Census Tract 3, Fayette County, Kentucky",44,40,4
1000000US210670003001001,210670003001001,"Block 1001, Block Group 1, Census Tract 3, Fayette County, Kentucky",7,6,1
1000000US210670003001002,210670003001002,"Block 1002, Block Group 1, Census Tract 3, Fayette County, Kentucky",24,22,2
1000000US210670003001003,210670003001003,"Block 1003, Block Group 1, Census Tract 3, Fayette County, Kentucky",30,30,0
1000000US210670003001004,210670003001004,"Block 1004, Block Group 1, Census Tract 3, Fayette County, Kentucky",13,12,1
1000000US210670003001005,210670003001005,"Block 1005, Block Group 1, Census Tract 3, Fayette County, Kentucky",47,40,7
1000000US210670003001006,210670003001006,"Block 1006, Block Group 1, Census Tract 3, Fayette County, Kentucky",51,44,7
1000000US210670003001007,210670003001007,"Block 1007, Block Group 1, Census Tract 3, Fayette County, Kentucky",27,22,5
1000000US210670003001008,210670003001008,"Block 1008, Block Group 1, Census Tract 3, Fayette County, Kentucky",29,23,6
1000000US210670003001009,210670003001009,"Block 1009, Block Group 1, Census Tract 3, Fayette County, Kentucky",16,13,3
1000000US210670003001010,210670003001010,"Block 1010, Block Group 1, Census Tract 3, Fayette County, Kentucky",37,35,2
1000000US210670003001011,210670003001011,"Block 1011, Block Group 1, Census Tract 3, Fayette County, Kentucky",27,25,2
1000000US210670003002000,210670003002000,"Block 2000, Block Group 2, Census Tract 3, Fayette County, Kentucky",41,38,3
1000000US210670003002001,210670003002001,"Block 2001, Block Group 2, Census Tract 3, Fayette County, Kentucky",53,41,12
1000000US210670003002002,210670003002002,"Block 2002, Block Group 2, Census Tract 3, Fayette County, Kentucky",50,33,17
1000000US210670003002003,210670003002003,"Block 2003, Block Group 2, Census Tract 3, Fayette County, Kentucky",46,40,6
1000000US210670003002004,210670003002004,"Block 2004, Block Group 2, Census Tract 3, Fayette County, Kentucky",47,42,5
1000000US210670003002005,210670003002005,"Block 2005, Block Group 2, Census Tract 3, Fayette County, Kentucky",16,14,2
1000000US210670003002006,210670003002006,"Block 2006, Block Group 2, Census Tract 3, Fayette County, Kentucky",10,10,0
1000000US210670003002007,210670003002007,"Block 2007, Block Group 2, Census Tract 3, Fayette County, Kentucky",10,8,2
1000000US210670003003000,210670003003000,"Block 3000, Block Group 3, Census Tract 3, Fayette County, Kentucky",45,41,4
1000000US210670003003001,210670003003001,"Block 3001, Block Group 3, Census Tract 3, Fayette County, Kentucky",43,38,5
1000000US210670003003002,210670003003002,"Block 3002, Block Group 3, Census Tract 3, Fayette County, Kentucky",90,80,10
1000000US210670003003003,210670003003003,"Block 3003, Block Group 3, Census Tract 3, Fayette County, Kentucky",32,27,5
1000000US210670003003004,210670003003004,"Block 3004, Block Group 3, Census Tract 3, Fayette County, Kentucky",42,38,4
1000000US210670003003005,210670003003005,"Block 3005, Block Group 3, Census Tract 3, Fayette County, Kentucky",21,17,4
1000000US210670003004000,210670003004000,"Block 4000, Block Group 4, Census Tract 3, Fayette County, Kentucky",116,84,32
1000000US210670003004001,210670003004001,"Block 4001, Block Group 4, Census Tract 3, Fayette County, Kentucky",9,5,4
1000000US210670003004002,210670003004002,"Block 4002, Block Group 4, Census Tract 3, Fayette County, Kentucky",21,16,5
1000000US210670003004003,210670003004003,"Block 4003, Block Group 4, Census Tract 3, Fayette County, Kentucky",31,25,6
1000000US210670003004004,210670003004004,"Block 4004, Block Group 4, Census Tract 3, Fayette County, Kentucky",90,75,15
1000000US210670003004005,210670003004005,"Block 4005, Block Group 4, Census Tract 3, Fayette County, Kentucky",32,28,4
1000000US210670003004006,210670003004006,"Block 4006, Block Group 4, Census Tract 3, Fayette County, Kentucky",34,32,2
1000000US210670003004007,210670003004007,"Block 4007, Block Group 4, Census Tract 3, Fayette County, Kentucky",21,20,1
1000000US210670003004008,210670003004008,"Block 4008, Block Group 4, Census Tract 3, Fayette County, Kentucky",21,18,3
1000000US210670003004009,210670003004009,"Block 4009, Block Group 4, Census Tract 3, Fayette County, Kentucky",30,21,9
1000000US210670003004010,210670003004010,"Block 4010, Block Group 4, Census Tract 3, Fayette County, Kentucky",28,20,8
1000000US210670003005000,210670003005000,"Block 5000, Block Group 5, Census Tract 3, Fayette County, Kentucky",34,29,5
1000000US210670003005001,210670003005001,"Block 5001, Block Group 5, Census Tract 3, Fayette County, Kentucky",4,4,0
1000000US210670003005002,210670003005002,"Block 5002, Block Group 5, Census Tract 3, Fayette County, Kentucky",18,14,4
1000000US210670003005003,210670003005003,"Block 5003, Block Group 5, Census Tract 3, Fayette County, Kentucky",80,74,6
1000000US210670003005004,210670003005004,"Block 5004, Block Group 5, Census Tract 3, Fayette County, Kentucky",17,15,2
1000000US210670003005005,210670003005005,"Block 5005, Block Group 5, Census Tract 3, Fayette County, Kentucky",60,52,8
1000000US210670003005006,210670003005006,"Block 5006, Block Group 5, Census Tract 3, Fayette County, Kentucky",28,22,6
1000000US210670003005007,210670003005007,"Block 5007, Block Group 5, Census Tract 3, Fayette County, Kentucky",4,3,1
1000000US210670003005008,210670003005008,"Block 5008, Block Group 5, Census Tract 3, Fayette County, Kentucky",26,18,8
1000000US210670003005009,210670003005009,"Block 5009, Block Group 5, Census Tract 3, Fayette County, Kentucky",15,13,2
1000000US210670003005010,210670003005010,"Block 5010, Block Group 5, Census Tract 3, Fayette County, Kentucky",11,11,0
1000000US210670003005011,210670003005011,"Block 5011, Block Group 5, Census Tract 3, Fayette County, Kentucky",31,28,3
1000000US210670003005012,210670003005012,"Block 5012, Block Group 5, Census Tract 3, Fayette County, Kentucky",15,13,2
1000000US210670004001000,210670004001000,"Block 1000, Block Group 1, Census Tract 4, Fayette County, Kentucky",10,10,0
1000000US210670004001001,210670004001001,"Block 1001, Block Group 1, Census Tract 4, Fayette County, Kentucky",13,13,0
1000000US210670004001002,210670004001002,"Block 1002, Block Group 1, Census Tract 4, Fayette County, Kentucky",11,11,0
1000000US210670004001003,210670004001003,"Block 1003, Block Group 1, Census Tract 4, Fayette County, Kentucky",5,5,0
1000000US210670004001004,210670004001004,"Block 1004, Block Group 1, Census Tract 4, Fayette County, Kentucky",12,10,2
1000000US210670004001005,210670004001005,"Block 1005, Block Group 1, Census Tract 4, Fayette County, Kentucky",18,17,1
1000000US210670004001006,210670004001006,"Block 1006, Block Group 1, Census Tract 4, Fayette County, Kentucky",19,18,1
1000000US210670004001007,210670004001007,"Block 1007, Block Group 1, Census Tract 4, Fayette County, Kentucky",18,18,0
